ksp_type,pc_type,response,min1,min5,min15,proc
gcr,jacobi,450.78,126.2,130.91,129.29,87/3697
cg,sor,39.64,119.3,125.62,127.48,88/3693
gmres,sor,414.41,124.7,131.27,129.52,3/3696
fcg,sor,10.186,105.78,126.73,128.06,4/3695
tcqmr,sor,90.375,51.78,101.94,119.03,1/3688
cgs,sor,9.6609,48.48,98.73,117.7,1/3688
bcgs,sor,8.5485,45.52,95.6,116.37,3/3685
tfqmr,sor,9.4615,41.45,91.43,114.56,2/3684
cr,sor,5.8533,40.12,89.49,113.68,1/3686
gcr,sor,104.44,39.07,73.47,105.02,1/3684
cg,mg,6.5992,37.82,72.05,104.22,3/3685
gmres,mg,66.547,39.27,64.72,99.14,1/3686
fcg,mg,9.7209,36.96,62.55,97.7,1/3683
tcqmr,mg,25.709,37.45,60.17,95.78,2/3682
cgs,mg,10.136,35.94,58.35,94.42,1/3683
bcgs,mg,11.435,32.86,56.23,92.96,6/3684
tfqmr,mg,9.8145,33.37,55.17,92.02,1/3684
cr,mg,6.5123,32.17,53.84,90.99,2/3683
gcr,mg,78.193,41.03,51.12,86.76,3/3685
cg,bjacobi,4.4435,39.7,50.49,86.18,2/3687
gmres,bjacobi,78.015,40.51,47.99,82.16,4/3681
fcg,bjacobi,7.9692,39.18,47.31,81.39,1/3683
tcqmr,bjacobi,22.468,37.64,46.08,79.89,1/3684
cgs,bjacobi,7.3951,35.4,45.15,79.04,2/3684
bcgs,bjacobi,6.4031,35.21,44.6,78.32,2/3685
tfqmr,bjacobi,7.196,35.34,44.15,77.63,3/3686
cr,bjacobi,4.26,34.66,43.71,77.12,1/3686
gcr,bjacobi,104.18,38.32,42.35,72.74,2/3683
cg,jacobi,7.5293,35.88,41.62,72.01,4/3683
gmres,jacobi,86.424,39.64,41.25,69.06,1/3683
fcg,jacobi,17.786,39.69,41.11,68.27,1/3684
tcqmr,jacobi,132.13,40.23,40.68,64.29,1/3679
cgs,jacobi,13.735,36.38,39.78,63.36,2/3681
bcgs,jacobi,12.052,36.63,39.65,62.94,5/3682
tfqmr,jacobi,14.926,35.67,39.12,62.14,2/3681
cr,jacobi,7.8957,35.34,38.86,61.68,1/3681
gcr,jacobi,116.84,39.09,39.22,58.93,1/3682
cg,sor,5.6841,38.0,38.97,58.64,3/3684
gmres,sor,125.59,39.93,39.14,56.01,2/3442
fcg,sor,9.6566,38.75,38.89,55.66,3/3441
tcqmr,sor,88.746,37.56,38.73,53.89,1/3442
cgs,sor,9.4447,36.75,38.47,53.56,1/3443
bcgs,sor,8.4993,36.42,38.29,53.26,3/3445
tfqmr,sor,9.5238,36.01,38.09,52.95,1/3444
cr,sor,5.8153,33.07,37.29,52.45,1/3446
gcr,sor,105.24,37.62,37.84,50.88,2/3443
cg,mg,6.6627,36.59,37.6,50.66,1/3445
gmres,mg,66.254,39.39,38.12,49.81,2/3445
fcg,mg,8.6719,38.4,37.94,49.57,2/3444
tcqmr,mg,24.872,36.77,37.62,49.03,1/3442
