ksp_type,pc_type,response
bcgs,mg,10.376
tfqmr,mg,9.8675
cr,mg,6.6059
gcr,mg,79.117
cg,jacobi,7.3538
gmres,jacobi,86.136
fcg,jacobi,17.025
tcqmr,jacobi,136.29
cgs,jacobi,14.85
bcgs,jacobi,13.383
tfqmr,jacobi,15.119
cr,jacobi,8.1066
gcr,jacobi,124.39
cg,sor,5.9946
gmres,sor,127.02
fcg,sor,9.5326
tcqmr,sor,95.306
cgs,sor,9.5035
bcgs,sor,9.3667
tfqmr,sor,9.5242
cr,sor,6.351
gcr,sor,105.03
cg,bjacobi,4.5485
gmres,bjacobi,78.378
fcg,bjacobi,8.1404
tcqmr,bjacobi,22.623
cgs,bjacobi,7.9475
bcgs,bjacobi,7.1585
tfqmr,bjacobi,7.853
cr,bjacobi,4.5366
gcr,bjacobi,110.24
cg,mg,6.5011
gmres,mg,67.781
fcg,mg,8.6577
tcqmr,mg,26.253
cgs,mg,9.8284
bcgs,mg,10.218
tfqmr,mg,10.279
cr,mg,7.0232
gcr,mg,79.39
cg,jacobi,7.3613
gmres,jacobi,94.107
fcg,jacobi,17.65
tcqmr,jacobi,133.06
cgs,jacobi,14.065
bcgs,jacobi,12.133
tfqmr,jacobi,15.141
cr,jacobi,8.0328
gcr,jacobi,122.47
cg,sor,5.7717
gmres,sor,126.43
fcg,sor,9.7264
tcqmr,sor,93.529
cgs,sor,9.4321
bcgs,sor,8.6223
tfqmr,sor,9.3334
cr,sor,5.9219
gcr,sor,110.91
cg,bjacobi,4.5393
gmres,bjacobi,76.96
fcg,bjacobi,8.3064
tcqmr,bjacobi,22.475
cgs,bjacobi,7.1824
bcgs,bjacobi,6.5893
tfqmr,bjacobi,7.7888
cr,bjacobi,4.3585
gcr,bjacobi,105.43
cg,mg,6.9342
gmres,mg,67.695
fcg,mg,9.1694
tcqmr,mg,25.443
cgs,mg,9.732
bcgs,mg,10.336
tfqmr,mg,10.56
cr,mg,7.1445
gcr,mg,79.848
cg,jacobi,7.3912
gmres,jacobi,87.051
fcg,jacobi,17.517
tcqmr,jacobi,134.09
cgs,jacobi,14.431
bcgs,jacobi,12.899
tfqmr,jacobi,17.197
cr,jacobi,8.7617
gcr,jacobi,209.97
cg,sor,40.494
gmres,sor,414.38
fcg,sor,49.013
tcqmr,sor,400.35
cgs,sor,44.203
bcgs,sor,41.346
tfqmr,sor,41.298
cr,sor,30.663
gcr,sor,357.52
cg,bjacobi,36.608
gmres,bjacobi,257.93
fcg,bjacobi,42.329
tcqmr,bjacobi,110.57
cgs,bjacobi,35.81
bcgs,bjacobi,34.832
tfqmr,bjacobi,35.822
cr,bjacobi,24.647
gcr,bjacobi,377.13
cg,mg,28.462
gmres,mg,191.16
fcg,mg,33.913
tcqmr,mg,86.411
cgs,mg,34.21
bcgs,mg,35.821
tfqmr,mg,33.092
cr,mg,25.988
gcr,mg,239.39
