ksp_type,pc_type,response
bcgs,sor,49.904
tfqmr,sor,48.911
cr,sor,32.822
gcr,sor,1428.6
cg,mg,41.531
gmres,mg,371.33
fcg,mg,50.653
tcqmr,mg,159.55
cgs,mg,63.715
bcgs,mg,61.708
tfqmr,mg,61.39
cr,mg,40.905
gcr,mg,640.18
cg,jacobi,38.374
gmres,jacobi,229.76
fcg,jacobi,70.017
tcqmr,jacobi,239.9
cgs,jacobi,68.5
bcgs,jacobi,57.866
tfqmr,jacobi,65.319
cr,jacobi,35.46
gcr,jacobi,1353.4
cg,sor,33.915
gmres,sor,515.9
fcg,sor,46.574
tcqmr,sor,133.5
cgs,sor,51.715
bcgs,sor,51.296
tfqmr,sor,49.453
cr,sor,32.895
gcr,sor,1431.1
cg,mg,41.71
gmres,mg,372.86
fcg,mg,49.463
tcqmr,mg,158.71
cgs,mg,62.255
bcgs,mg,61.367
tfqmr,mg,60.13
cr,mg,42.134
gcr,mg,627.15
