ksp_type,pc_type,response
cgs,sor,57.27
cgs,mg,156.40
bcgs,bjacobi,114.49
bcgs,jacobi,55.59
bcgs,sor,151.03
bcgs,mg,163.87
tfqmr,bjacobi,118.05
tfqmr,jacobi,921.37
tfqmr,sor,150.62
tfqmr,mg,152.60
cr,bjacobi,97.81
cg,bjacobi,98.51
cg,jacobi,40.82
cg,sor,123.53
cg,mg,135.02
gmres,bjacobi,165.56
gmres,jacobi,189.46
gmres,sor,248.14
gmres,mg,187.99
fcg,bjacobi,104.93
fcg,jacobi,43.42
fcg,sor,131.09
fcg,mg,138.07
tcqmr,bjacobi,313.51
tcqmr,jacobi,545.76
tcqmr,sor,392.28
tcqmr,mg,361.09
cgs,bjacobi,39.51
cgs,jacobi,172.33
cgs,sor,56.60
cgs,mg,155.68
bcgs,bjacobi,114.62
bcgs,jacobi,61.92
bcgs,sor,142.60
bcgs,mg,172.75
tfqmr,bjacobi,116.86
tfqmr,jacobi,922.56
tfqmr,sor,159.66
tfqmr,mg,153.02
cr,bjacobi,98.95
cr,jacobi,41.71
cr,sor,120.58
cr,mg,132.86
gcr,bjacobi,132.35
gcr,jacobi,175.09
gcr,sor,188.73
gcr,mg,143.89
cg,bjacobi,99.22
cg,jacobi,41.58
cg,sor,124.13
cg,mg,135.08
gmres,bjacobi,166.68
gmres,jacobi,199.57
gmres,sor,249.42
gmres,mg,188.51
fcg,bjacobi,104.77
fcg,jacobi,43.52
fcg,sor,131.89
fcg,mg,138.73
tcqmr,bjacobi,379.92
tcqmr,jacobi,627.37
tcqmr,sor,378.75
tcqmr,mg,361.13
cgs,bjacobi,39.72
cgs,jacobi,243.35
cgs,sor,57.58
cgs,mg,156.55
bcgs,bjacobi,111.84
bcgs,jacobi,58.44
bcgs,sor,149.93
bcgs,mg,166.10
tfqmr,bjacobi,117.98
tfqmr,jacobi,923.40
tfqmr,sor,151.31
tfqmr,mg,152.53
cr,bjacobi,97.49
cr,jacobi,41.61
cr,sor,120.07
cr,mg,133.61
gcr,bjacobi,132.86
gcr,jacobi,176.50
gcr,sor,189.24
gcr,mg,143.80
cg,bjacobi,98.99
cg,jacobi,41.28
cg,sor,124.15
cg,mg,134.63
gmres,bjacobi,167.10
gmres,jacobi,196.12
gmres,sor,251.89
gmres,mg,188.63
fcg,bjacobi,105.49
fcg,jacobi,43.74
fcg,sor,132.37
fcg,mg,139.37
tcqmr,bjacobi,346.24
tcqmr,jacobi,1350.10
tcqmr,sor,373.20
tcqmr,mg,363.57
cgs,bjacobi,39.76
cgs,jacobi,81.69
cgs,sor,56.49
cgs,mg,158.23
bcgs,bjacobi,112.89
bcgs,jacobi,61.09
bcgs,sor,145.88
bcgs,mg,176.07
tfqmr,bjacobi,117.00
tfqmr,jacobi,92.73
tfqmr,sor,150.28
tfqmr,mg,153.01
cr,bjacobi,98.53
cr,jacobi,42.54
cr,sor,121.03
cr,mg,134.27
gcr,bjacobi,132.92
gcr,jacobi,176.40
gcr,sor,189.95
gcr,mg,144.53
cg,bjacobi,98.07
cg,jacobi,40.93
cg,sor,124.08
cg,mg,135.42
gmres,bjacobi,166.52
gmres,jacobi,190.14
gmres,sor,247.50
gmres,mg,187.37
fcg,bjacobi,105.28
fcg,jacobi,43.24
fcg,sor,132.10
fcg,mg,139.32
tcqmr,bjacobi,371.75
tcqmr,jacobi,108.11
tcqmr,sor,3120.00
tcqmr,mg,360.75
cgs,bjacobi,39.65
cgs,jacobi,904.18
cgs,sor,56.31
cgs,mg,156.74
bcgs,bjacobi,111.67
bcgs,jacobi,59.59
bcgs,sor,148.19
