ksp_type,pc_type,response
gcr,mg,29.44
cg,bjacobi,2.17
cg,jacobi,3.16
cg,sor,2.58
cg,mg,3.06
gmres,bjacobi,26.90
gmres,jacobi,31.95
gmres,sor,46.81
gmres,mg,25.29
fcg,bjacobi,3.41
fcg,jacobi,6.37
fcg,sor,4.01
fcg,mg,3.81
tcqmr,bjacobi,14.12
tcqmr,jacobi,33.62
tcqmr,sor,10.09
tcqmr,mg,9.59
cgs,bjacobi,3.07
cgs,jacobi,5.49
cgs,sor,3.77
cgs,mg,4.22
bcgs,bjacobi,3.02
bcgs,jacobi,4.99
bcgs,sor,3.71
bcgs,mg,4.40
tfqmr,bjacobi,3.14
tfqmr,jacobi,5.74
tfqmr,sor,3.94
tfqmr,mg,4.20
cr,bjacobi,2.02
cr,jacobi,3.27
cr,sor,2.70
cr,mg,3.07
gcr,bjacobi,38.76
gcr,jacobi,42.39
gcr,sor,40.13
gcr,mg,29.51
cg,bjacobi,2.13
cg,jacobi,3.13
cg,sor,2.53
cg,mg,2.96
gmres,bjacobi,26.93
gmres,jacobi,31.58
gmres,sor,46.81
gmres,mg,25.10
fcg,bjacobi,3.26
fcg,jacobi,6.25
fcg,sor,3.92
fcg,mg,3.89
tcqmr,bjacobi,13.98
tcqmr,jacobi,33.51
tcqmr,sor,10.07
tcqmr,mg,9.56
cgs,bjacobi,3.06
cgs,jacobi,5.42
cgs,sor,3.85
cgs,mg,4.20
bcgs,bjacobi,3.19
bcgs,jacobi,4.94
bcgs,sor,3.70
bcgs,mg,4.36
tfqmr,bjacobi,3.09
tfqmr,jacobi,5.77
tfqmr,sor,3.95
tfqmr,mg,4.33
cr,bjacobi,2.09
cr,jacobi,3.31
cr,sor,2.61
cr,mg,3.13
gcr,bjacobi,38.52
gcr,jacobi,42.26
gcr,sor,40.02
gcr,mg,29.47
cg,bjacobi,2.08
cg,jacobi,3.07
cg,sor,2.53
cg,mg,2.97
gmres,bjacobi,26.85
gmres,jacobi,31.96
gmres,sor,46.73
