ksp_type,pc_type,response,min1,min5,min15,proc
fcg,icc,73.408,101.05,100.5,95.7,83/3706
tcqmr,icc,226.36,100.87,100.87,96.89,87/3713
cgs,icc,84.613,98.54,100.42,97.12,88/3708
bcgs,icc,73.641,99.25,100.23,97.31,77/3709
tfqmr,icc,83.367,99.11,99.83,97.42,83/3708
cr,icc,46.464,99.73,99.81,97.54,94/3708
gcr,icc,1360.8,98.79,97.98,97.6,87/3713
cg,jacobi,78.628,99.65,98.43,97.79,96/3712
gmres,jacobi,444.29,101.52,99.37,98.41,72/3707
fcg,jacobi,129.04,99.88,99.7,98.67,92/3713
tcqmr,jacobi,450.05,99.47,99.6,99.11,94/3705
cgs,jacobi,130.75,96.77,98.71,98.87,97/3708
bcgs,jacobi,107.67,100.07,99.3,99.06,91/3705
tfqmr,jacobi,137.01,96.6,98.35,98.76,89/3708
cr,jacobi,69.006,96.32,97.9,98.57,90/3707
gcr,jacobi,1738.4,98.85,99.39,98.78,91/3709
cg,sor,62.958,99.01,99.45,98.85,85/3713
gmres,sor,1071.8,101.16,100.91,99.92,85/3712
fcg,sor,92.966,101.89,101.08,100.07,91/3710
tcqmr,sor,249.0,101.18,101.14,100.33,86/3709
cgs,sor,97.333,101.84,101.45,100.53,98/3709
bcgs,sor,109.88,100.02,101.02,100.48,92/3711
tfqmr,sor,88.959,98.23,100.29,100.28,86/3713
cr,sor,61.331,99.21,100.12,100.21,85/3710
gcr,sor,1999.6,101.25,99.61,99.6,90/3709
cg,mg,81.474,99.31,99.42,99.54,91/3710
gmres,mg,733.82,100.49,100.55,100.02,100/3713
fcg,mg,99.649,99.61,100.22,99.96,89/3707
tcqmr,mg,293.22,97.04,99.2,99.66,93/3709
cgs,mg,133.94,97.06,98.04,99.14,87/3703
bcgs,mg,118.72,97.79,97.79,98.9,84/3707
tfqmr,mg,110.19,99.8,98.59,99.07,91/3706
cr,mg,75.626,98.74,98.54,99.01,89/3711
gcr,mg,976.39,105.34,101.97,100.18,89/3708
cg,icc,54.656,103.29,101.94,100.27,102/3711
gmres,icc,651.51,99.05,99.67,99.8,87/3712
fcg,icc,82.72,97.12,98.87,99.5,83/3713
tcqmr,icc,208.25,98.58,98.86,99.35,96/3705
cgs,icc,83.128,100.06,99.2,99.43,93/3702
bcgs,icc,73.404,98.98,99.0,99.33,90/3701
tfqmr,icc,90.276,99.23,99.29,99.42,92/3702
cr,icc,48.284,98.47,99.09,99.34,93/3705
gcr,icc,1375.5,96.13,97.26,98.3,86/3711
cg,jacobi,70.771,98.49,97.7,98.37,86/3705
gmres,jacobi,453.69,100.02,99.11,98.77,92/3705
fcg,jacobi,138.96,98.58,99.02,98.79,96/3709
tcqmr,jacobi,457.19,97.78,99.08,99.05,89/3708
cgs,jacobi,133.09,99.25,99.31,99.16,82/3710
bcgs,jacobi,109.35,98.82,99.05,99.07,87/3709
tfqmr,jacobi,127.2,97.75,98.67,98.94,89/3709
cr,jacobi,70.49,98.31,98.56,98.88,93/3703
gcr,jacobi,1766.1,98.74,99.23,99.26,101/3701
cg,sor,68.958,100.71,99.77,99.44,86/3705
gmres,sor,1037.2,100.86,99.69,99.32,87/3699
fcg,sor,84.821,102.24,100.65,99.71,98/3705
tcqmr,sor,264.93,99.62,99.51,99.4,86/3705
cgs,sor,117.92,103.01,100.69,99.83,96/3702
bcgs,sor,93.266,101.06,100.7,99.92,88/3702
tfqmr,sor,97.433,98.25,99.69,99.63,90/3700
cr,sor,61.982,99.37,99.62,99.6,89/3700
gcr,sor,1983.7,99.06,98.5,98.99,94/3699
cg,mg,79.066,97.92,98.32,98.89,93/3703
gmres,mg,696.52,98.65,98.76,98.78,85/3701
fcg,mg,95.847,101.23,99.87,99.19,91/3709
tcqmr,mg,320.68,99.73,98.89,98.89,95/3706
cgs,mg,142.04,98.32,98.94,98.92,84/3705
bcgs,mg,137.72,98.42,98.82,98.89,83/3702
tfqmr,mg,110.33,100.35,99.73,99.23,90/3706
cr,mg,75.989,100.45,100.06,99.4,95/3703
gcr,mg,958.16,101.97,99.72,99.37,103/3707
cg,icc,55.457,101.4,100.0,99.48,81/3706
gmres,icc,710.49,101.25,100.79,100.17,93/3707
fcg,icc,75.2,99.85,100.51,100.12,89/3707
tcqmr,icc,206.78,100.22,100.63,100.27,85/3710
cgs,icc,89.349,100.12,100.43,100.22,84/3708
